"","survey_id","prepost","questionnaire","item_nbr","item_id","response","subscale","subscale_item_nbr","timestamp","under_represented","attend_sciexpo_this_year","attend_sciexpo_last_year","current_grade","ap_science_enrolled","score"
"126",139,"post","ssi",4,"i1","Strongly agree","Interest","1",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"127",139,"post","ssi",5,"i2","Strongly agree","Interest","2",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"128",139,"post","ssi",6,"i3","Strongly agree","Interest","3",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"129",139,"post","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"130",139,"post","ssi",8,"r2","Somewhat agree","Recognition","2",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"131",139,"post","ssi",9,"c3","Strongly agree","Competence","3",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"132",139,"post","ssi",10,"p4","Somewhat agree","Peformance","4",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"133",139,"post","ssi",11,"r3","Somewhat agree","Recognition","3",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"134",139,"post","ssi",12,"i5","Strongly agree","Interest","5",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"135",139,"post","ssi",13,"r4","Strongly agree","Recognition","4",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"136",139,"post","ssi",14,"i6","Strongly agree","Interest","6",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"137",139,"post","ssi",15,"c5","Strongly agree","Competence","5",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",5
"138",139,"post","ssi",16,"c6","Somewhat agree","Competence","6",2025-10-28 10:01:10.293,"Non-
HURM","No","Yes","12th Grade (Senior)","Yes",4
"139",149,"pre","likely_become_scientist",NA,NA,"Somewhat likely","likely_become_scientist",NA,2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",4
"140",149,"pre","represented_in_science",NA,NA,"Completely represented","represented_in_science",NA,2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"141",149,"pre","ssi",1,"p1","Strongly agree","Peformance","1",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"142",149,"pre","ssi",2,"c1","Strongly agree","Competence","1",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"143",149,"pre","ssi",3,"r1","Strongly agree","Recognition","1",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"144",149,"pre","ssi",4,"i1","Strongly agree","Interest","1",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"145",149,"pre","ssi",5,"i2","Strongly agree","Interest","2",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"146",149,"pre","ssi",6,"i3","Somewhat agree","Interest","3",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",4
"147",149,"pre","ssi",7,"p3","Strongly agree","Peformance","3",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"148",149,"pre","ssi",8,"r2","Strongly agree","Recognition","2",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"149",149,"pre","ssi",9,"c3","Strongly agree","Competence","3",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"150",149,"pre","ssi",10,"p4","Strongly agree","Peformance","4",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"151",149,"pre","ssi",11,"r3","Strongly agree","Recognition","3",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"152",149,"pre","ssi",12,"i5","Somewhat agree","Interest","5",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",4
"153",149,"pre","ssi",13,"r4","Strongly agree","Recognition","4",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"154",149,"pre","ssi",14,"i6","Strongly agree","Interest","6",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"155",149,"pre","ssi",15,"c5","Strongly agree","Competence","5",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
"156",149,"pre","ssi",16,"c6","Strongly agree","Competence","6",2025-10-03 10:13:54.7,"Non-
HURM","Yes","No","12th Grade (Senior)","Yes",5
